arret,didoc,ligne,montees_jour,descentes_jour
Gare Cornavin,8587057,71,345.9,353.9
Gare Cornavin,8587057,5,742.5,705.1
Gare Cornavin,8587057,L,522.2,523.9
Gare Cornavin,8587057,12,3018.5,2895.0
Gare Cornavin,8587057,8,368.8,333.3
Gare Cornavin,8587057,46,1199.7,893.0
Gare Cornavin,8587057,31,1257.6,1171.1
Gare Cornavin,8587057,9,982.4,678.1
Gare Cornavin,8587057,64,1196.6,1133.3
Gare Cornavin,8587057,3,1429.6,1318.4
Bel-Air,8587058,10,1756.3,1465.9
Bel-Air,8587058,3,1535.1,1470.5
Bel-Air,8587058,47,2394.3,2048.7
Bel-Air,8587058,27,1858.0,1375.6
Bel-Air,8587058,K,721.4,561.3
Bel-Air,8587058,38,1075.7,809.2
Bel-Air,8587058,A,1128.4,1171.4
Bel-Air,8587058,68,1067.0,1005.1
Bel-Air,8587058,17,1425.1,972.9
Bel-Air,8587058,Z,1553.9,1208.0
Rive,8587059,72,1420.6,1033.5
Rive,8587059,Z,1040.5,684.4
Rive,8587059,T,2104.8,1635.6
Rive,8587059,23,622.1,460.1
Rive,8587059,62,3260.2,2718.3
Rive,8587059,42,770.7,514.7
Rive,8587059,E,1612.4,1305.9
Rive,8587059,2,1151.1,820.0
Rive,8587059,66,839.6,611.0
Rive,8587059,18,1458.4,1126.7
Plainpalais,8587060,38,497.6,519.1
Plainpalais,8587060,19,944.6,819.6
Plainpalais,8587060,31,699.2,667.2
Plainpalais,8587060,71,1346.4,1295.2
Plainpalais,8587060,11,566.2,584.1
Coutance,8587061,11,398.3,369.7
Coutance,8587061,12,992.7,1036.0
Coutance,8587061,33,467.9,368.1
Coutance,8587061,Y,844.8,851.6
Coutance,8587061,W,695.4,461.0
Coutance,8587061,57,706.6,701.8
Coutance,8587061,5,654.5,607.5
Coutance,8587061,A,949.6,943.4
Coutance,8587061,7,1233.5,849.8
Coutance,8587061,14,424.0,370.8
Cirque,8587062,5,550.1,381.6
Cirque,8587062,Y,642.1,598.9
Cirque,8587062,17,1489.6,1556.0
Cirque,8587062,47,339.7,338.4
Cirque,8587062,W,738.4,703.8
Cirque,8587062,9,569.4,499.9
Cirque,8587062,38,769.6,530.6
Cirque,8587062,72,586.7,609.8
Cirque,8587062,C,719.4,557.7
Cirque,8587062,11,698.3,587.4
Stand,8587063,34,576.4,393.1
Stand,8587063,68,392.3,264.7
Stand,8587063,8,470.4,308.4
Stand,8587063,D,287.3,207.7
Stand,8587063,G,1369.3,950.7
Stand,8587063,57,305.4,308.1
Augustins,8587064,10,353.9,283.8
Augustins,8587064,71,356.3,333.7
Augustins,8587064,2,754.7,537.9
Augustins,8587064,57,381.7,366.4
Augustins,8587064,C,758.2,783.9
Terrassière,8587065,7,360.9,332.5
Terrassière,8587065,5,190.1,186.5
Terrassière,8587065,44,627.3,502.6
Terrassière,8587065,17,1733.2,1188.5
Terrassière,8587065,Y,563.8,387.4
Villereuse,8587066,12,2147.5,1939.0
Villereuse,8587066,G,340.7,315.6
Villereuse,8587066,25,241.5,210.9
Villereuse,8587066,T,315.4,222.7
Villereuse,8587066,C,322.4,279.3
Villereuse,8587066,14,726.7,592.8
Villereuse,8587066,8,467.6,389.5
Jonction,8587067,39,580.3,598.3
Jonction,8587067,15,584.0,419.5
Jonction,8587067,46,961.4,855.5
Jonction,8587067,35,412.9,295.9
Servette,8587068,34,647.7,621.1
Servette,8587068,F,379.6,282.3
Servette,8587068,23,432.3,346.7
Servette,8587068,14,1002.9,1043.7
Servette,8587068,31,571.4,481.5
Nations,8587069,61,1876.8,1337.9
Nations,8587069,5,1385.2,1361.2
Nations,8587069,7,1069.9,1080.9
Nations,8587069,10,1956.5,1651.8
Nations,8587069,42,1056.7,789.7
Sécheron,8587070,22,70.9,54.1
Sécheron,8587070,10,293.5,216.1
Sécheron,8587070,71,98.8,90.9
Sécheron,8587070,72,294.5,197.0
Sécheron,8587070,53,249.7,254.4
Sécheron,8587070,57,191.5,194.3
Champel,8587071,D,283.9,191.5
Champel,8587071,57,373.3,264.1
Champel,8587071,63,900.7,830.6
Champel,8587071,46,314.2,204.7
Champel,8587071,6,196.3,198.8
Champel,8587071,68,285.4,290.1
Hôpital,8587072,6,1229.4,913.8
Hôpital,8587072,72,343.9,247.0
Hôpital,8587072,G,508.6,362.5
Bout-du-Monde,8587073,57,34.9,32.6
Bout-du-Monde,8587073,6,75.0,71.8
Bout-du-Monde,8587073,63,63.6,44.6
Genève-Plage,8587074,68,127.5,124.3
Genève-Plage,8587074,L,556.0,372.7
Genève-Plage,8587074,27,609.5,621.2
Genève-Plage,8587074,64,135.6,136.8
Genève-Plage,8587074,Y,519.6,482.1
Gare des Eaux-Vives,8587075,6,803.8,652.2
Gare des Eaux-Vives,8587075,Z,548.8,428.7
Gare des Eaux-Vives,8587075,62,1036.5,871.5
Gare des Eaux-Vives,8587075,22,1023.9,1064.8
Gare des Eaux-Vives,8587075,44,758.6,499.4
Gare des Eaux-Vives,8587075,G,320.3,214.3
Gare des Eaux-Vives,8587075,D,1009.3,764.7
Bachet-de-Pesay,8587076,31,2954.3,2920.2
Bachet-de-Pesay,8587076,L,685.7,534.6
Bachet-de-Pesay,8587076,21,1388.0,938.1
Bachet-de-Pesay,8587076,T,364.0,268.3
Bachet-de-Pesay,8587076,34,583.3,544.0
Bachet-de-Pesay,8587076,F,856.1,745.5
Bachet-de-Pesay,8587076,D,1038.4,971.6
Bachet-de-Pesay,8587076,28,1269.9,1099.8
Bachet-de-Pesay,8587076,A,1988.2,1638.0
Lancy-Pont-Rouge,8587077,71,445.0,293.7
Lancy-Pont-Rouge,8587077,K,602.5,592.4
Lancy-Pont-Rouge,8587077,2,747.0,505.0
Lancy-Pont-Rouge,8587077,51,1994.0,1741.1
Lancy-Pont-Rouge,8587077,63,474.4,412.3
Lancy-Pont-Rouge,8587077,22,194.7,190.7
Lancy-Pont-Rouge,8587077,21,894.6,692.5
Lancy-Pont-Rouge,8587077,19,512.6,409.5
Lancy-Pont-Rouge,8587077,1,222.9,148.8
Grand-Lancy,8587078,34,148.2,113.7
