didoc,arret,ligne,mode,departures_weekday
8587057,Gare Cornavin,71,bus,214
8587057,Gare Cornavin,5,bus,224
8587057,Gare Cornavin,L,bus,78
8587057,Gare Cornavin,12,tram,183
8587057,Gare Cornavin,8,bus,127
8587057,Gare Cornavin,46,bus,162
8587057,Gare Cornavin,31,bus,132
8587057,Gare Cornavin,9,bus,106
8587057,Gare Cornavin,64,bus,164
8587057,Gare Cornavin,3,trolleybus,147
8587058,Bel-Air,10,trolleybus,225
8587058,Bel-Air,3,trolleybus,170
8587058,Bel-Air,47,bus,207
8587058,Bel-Air,27,bus,174
8587058,Bel-Air,K,bus,135
8587058,Bel-Air,38,bus,223
8587058,Bel-Air,A,bus,134
8587058,Bel-Air,68,bus,93
8587058,Bel-Air,17,tram,243
8587058,Bel-Air,Z,bus,191
8587059,Rive,72,bus,202
8587059,Rive,Z,bus,107
8587059,Rive,T,bus,241
8587059,Rive,23,bus,149
8587059,Rive,62,bus,114
8587059,Rive,42,bus,128
8587059,Rive,E,bus,157
8587059,Rive,2,trolleybus,206
8587059,Rive,66,bus,184
8587059,Rive,18,tram,203
8587060,Plainpalais,38,bus,143
8587060,Plainpalais,19,trolleybus,183
8587060,Plainpalais,31,bus,117
8587060,Plainpalais,71,bus,107
8587060,Plainpalais,11,bus,180
8587061,Coutance,11,bus,115
8587061,Coutance,12,tram,179
8587061,Coutance,33,bus,95
8587061,Coutance,Y,bus,138
8587061,Coutance,W,bus,119
8587061,Coutance,57,bus,138
8587061,Coutance,5,bus,186
8587061,Coutance,A,bus,110
8587061,Coutance,7,trolleybus,134
8587061,Coutance,14,tram,109
8587062,Cirque,5,bus,91
8587062,Cirque,Y,bus,134
8587062,Cirque,17,tram,194
8587062,Cirque,47,bus,125
8587062,Cirque,W,bus,138
8587062,Cirque,9,bus,120
8587062,Cirque,38,bus,85
8587062,Cirque,72,bus,112
8587062,Cirque,C,bus,120
8587062,Cirque,11,bus,143
8587063,Stand,34,bus,147
8587063,Stand,68,bus,115
8587063,Stand,8,bus,113
8587063,Stand,D,bus,118
8587063,Stand,G,bus,131
8587063,Stand,57,bus,68
8587064,Augustins,10,trolleybus,145
8587064,Augustins,71,bus,110
8587064,Augustins,2,trolleybus,146
8587064,Augustins,57,bus,71
8587064,Augustins,C,bus,136
8587065,Terrassière,7,trolleybus,174
8587065,Terrassière,5,bus,117
8587065,Terrassière,44,bus,85
8587065,Terrassière,17,tram,115
8587065,Terrassière,Y,bus,94
8587066,Villereuse,12,tram,151
8587066,Villereuse,G,bus,103
8587066,Villereuse,25,bus,56
8587066,Villereuse,T,bus,100
8587066,Villereuse,C,bus,79
