arret,didoc,lat,lon,commune
Gare Cornavin,8587057,46.21,6.1425,Genève
Bel-Air,8587058,46.2043,6.1435,Genève
Rive,8587059,46.2036,6.1522,Genève
Plainpalais,8587060,46.1966,6.141,Genève
Coutance,8587061,46.2075,6.1415,Genève
Cirque,8587062,46.201,6.139,Genève
Stand,8587063,46.202,6.137,Genève
Augustins,8587064,46.1975,6.142,Genève
Terrassière,8587065,46.2005,6.156,Genève
Villereuse,8587066,46.2,6.16,Genève
Jonction,8587067,46.2005,6.13,Genève
Servette,8587068,46.2145,6.132,Genève
Nations,8587069,46.2225,6.14,Genève
Sécheron,8587070,46.2215,6.1465,Genève
Champel,8587071,46.19,6.152,Genève
Hôpital,8587072,46.1925,6.148,Genève
Bout-du-Monde,8587073,46.1815,6.149,Genève
Genève-Plage,8587074,46.211,6.168,Genève
Gare des Eaux-Vives,8587075,46.1985,6.1665,Genève
Bachet-de-Pesay,8587076,46.1743,6.1265,Lancy
Lancy-Pont-Rouge,8587077,46.1855,6.1305,Lancy
Grand-Lancy,8587078,46.178,6.123,Lancy
Petit-Lancy,8587079,46.19,6.1105,Lancy
Palettes,8587080,46.1755,6.118,Lancy
Pont-Butin,8587081,46.1955,6.115,Vernier
Carouge-Rondeau,8587082,46.1855,6.139,Carouge
Tours-de-Carouge,8587083,46.183,6.1405,Carouge
Moillesulaz,8587084,46.1925,6.195,Thônex
Thônex-Vallard,8587085,46.183,6.205,Thônex
Chêne-Bourg,8587086,46.1945,6.188,Chêne-Bourg
Balexert,8587087,46.2185,6.112,Vernier
Blandonnet,8587088,46.22,6.101,Vernier
Les Avanchets,8587089,46.2215,6.1105,Vernier
Vernier-Village,8587090,46.217,6.085,Vernier
Aéroport,8587091,46.231,6.109,Meyrin
Cointrin,8587092,46.227,6.115,Meyrin
Meyrin-Village,8587093,46.232,6.08,Meyrin
Onex-Cité,8587094,46.184,6.102,Onex
Bernex,8587095,46.176,6.075,Bernex
Croix-de-Rozon,8587096,46.149,6.14,Bardonnex
Veyrier-Douane,8587097,46.166,6.181,Veyrier
Vésenaz,8587098,46.244,6.181,Collonge-Bellerive
Collonge-Bellerive,8587099,46.26,6.19,Collonge-Bellerive
Hermance,8587100,46.302,6.245,Hermance
